iter	Logloss
0	0.6929113468
1	0.692678224
2	0.6923300196
3	0.6918916091
4	0.6910570633
5	0.689965825
6	0.6892192123
7	0.6886078244
8	0.6878353017
9	0.6876127399
10	0.6869491857
11	0.6863840124
12	0.6859836915
13	0.6856348025
14	0.685216769
15	0.6845689704
16	0.6842479573
17	0.6837459702
18	0.6832031012
19	0.6825165957
20	0.6817280902
21	0.6816643567
22	0.6810764448
23	0.6806177645
24	0.6800526785
25	0.6796841309
26	0.6791442697
27	0.6786449752
28	0.6784267666
29	0.6777373972
30	0.6770662849
31	0.67640164
32	0.6761158667
33	0.675675499
34	0.6751777176
35	0.6748474622
36	0.6744476356
37	0.6740406092
38	0.6733099523
39	0.6727660658
40	0.6721994891
41	0.671997359
42	0.6714082855
43	0.6708269967
44	0.6705095899
45	0.6700648262
46	0.6696677828
47	0.6690005885
48	0.6687990194
49	0.6685816239
50	0.6679839011
51	0.6673108112
52	0.666631699
53	0.6662230626
54	0.6659468402
55	0.6655923071
56	0.6648559553
57	0.6646976817
58	0.6645957227
59	0.6642801017
60	0.6636643086
61	0.6632178792
62	0.6631445666
63	0.6626252305
64	0.6621944944
65	0.6614629306
66	0.6610747425
67	0.6606334969
68	0.6606203622
69	0.6599150988
70	0.6592125963
71	0.6587211494
72	0.6582682244
73	0.6578806683
74	0.6576564576
75	0.6569415948
76	0.6564655621
77	0.6558214721
78	0.6554147643
79	0.6550417078
80	0.6547067426
81	0.6545634421
82	0.6542465543
83	0.6537611727
84	0.6531350229
85	0.6525177144
86	0.6524844258
87	0.6522693672
88	0.6521706155
89	0.6517323646
90	0.6514174716
91	0.6512040634
92	0.6506092202
93	0.6506082545
94	0.650098052
95	0.6499135999
96	0.6495223351
97	0.6492815807
98	0.6488433895
99	0.6483255554
100	0.6482044225
101	0.647659515
102	0.647598134
103	0.6472692854
104	0.646592965
105	0.6463695908
106	0.6458469584
107	0.6454765039
108	0.6451156389
109	0.6450128864
110	0.6444966004
111	0.6439143707
112	0.6434076144
113	0.6432124706
114	0.6430388206
115	0.6428161806
116	0.642324043
117	0.6418452479
118	0.6415838015
119	0.6410191636
120	0.6406444118
121	0.6401876517
122	0.6395576062
123	0.6390081772
124	0.6388008191
125	0.6387993399
126	0.6387860388
127	0.6386797575
128	0.6384290922
129	0.6383225582
130	0.6378180318
131	0.6372880351
132	0.6372748426
133	0.6368678415
134	0.6367739997
135	0.6363046251
136	0.635920225
137	0.6357342652
138	0.6357004927
139	0.6354126647
140	0.6347986759
141	0.6346233721
142	0.6346073633
